nemo,rut,rut_dv,razon_social,isin,tipo_entidad,norma,active_status
INDISA,92051000,92051000-0,INSTITUTO DE DIAGNOSTICO S.A.,CL0000001587,EMISOR,PROFORMA,active
INGEVEC,76016541,76016541-7,INGEVEC S.A.,CL0001779843,EMISOR,IFRS,active
INVERCAP,96708470,96708470-0,INVERCAP S.A.,CLP5790L1099,EMISOR,PROFORMA,active
ITAUCL,97023000,97023000-9,BANCO ITAU CHILE,CL0002841873,BANCO,,active
LAS CONDES,93930000,93930000-7,CLINICA LAS CONDES S.A.,CLP282671054,EMISOR,PROFORMA,active
LIPIGAS,96928510,96928510-K,EMPRESAS LIPIGAS S.A.,CL0002227644,EMISOR,IFRS,active
LTM,89862200,89862200-2,LATAM AIRLINES GROUP S.A.,CL0000000423,EMISOR,IFRS,active
MALLPLAZA,76017019,76017019-4,PLAZA S.A.,CL0002456714,EMISOR,PROFORMA,active
MANQUEHUE,88745400,88745400-0,INMOBILIARIA MANQUEHUE S.A.,CL0002416189,EMISOR,IFRS,active
MARINSA,94660000,94660000-8,MARITIMA DE INVERSIONES S.A.,CLP6444R1042,EMISOR,PROFORMA,active
MASISA,96802690,96802690-9,MASISA S.A.,CL0000000183,EMISOR,IFRS,active
MINERA,90412000,90412000-6,MINERA VALPARAISO S.A.,CLP969051075,EMISOR,IFRS,active
MOLLER,92770000,92770000-K,EMP. CONST. MOLLER Y PEREZ-COTAPOS S.A.,CL0001962241,EMISOR,IFRS,active
MOLYMET,93628000,93628000-5,MOLIBDENOS Y METALES S.A.,CLP6877L1036,EMISOR,IFRS,active
NTGCLGAS,76609803,76609803-7,NATURGY CHILE GAS NATURAL S.A.,CL0002863349,EMISOR,IFRS,active
NUAM,77726203,77726203-3,NUAM S.A.,CL0002892397,EMISOR,IFRS,active
ORO BLANCO,96532830,96532830-0,PAMPA INVESTMENTS S.A.,CLP8716G1059,EMISOR,PROFORMA,active
OXIQUIM,80326500,80326500-3,OXIQUIM S.A.,CL0002159136,EMISOR,IFRS,active
PARAUCO,94627000,94627000-8,PARQUE ARAUCO S.A.,CLP763281068,EMISOR,PROFORMA,active
PASUR,91553000,91553000-1,FORESTAL CONSTR Y COM DEL PACIFICO SUR,CLP419131071,EMISOR,IFRS,active
PAZ,76488180,76488180-K,PAZ CORP S.A.,CL0000001918,EMISOR,PROFORMA,active
PEHUENCHE,96504980,96504980-0,EMPRESA ELECTRICA PEHUENCHE S.A.,CLP257751006,EMISOR,IFRS,active
PLANVITAL,98001200,98001200-K,A.F.P. PLANVITAL S.A.,CL0000000068,EMISOR,PROFORMA,active
POTASIOS-A,76165311,76165311-3,POTASIOS INVESTMENTS S.A.,CL0001834093,EMISOR,IFRS,active
PROVIDA,76265736,76265736-8,A.F.P. PROVIDA S.A.,CLP7919K1035,EMISOR,IFRS,active
PUCOBRE,96561560,96561560-1,SOCIEDAD PUNTA DEL COBRE S.A.,CL0002483510,EMISOR,PROFORMA,active
QUINENCO,91705000,91705000-7,QUINENCO S.A.,CLP7980K1070,EMISOR,IFRS,active
RIPLEY,99579730,99579730-5,RIPLEY CORP S.A.,CL0000001173,EMISOR,PROFORMA,active
SALFACORP,96885880,96885880-7,SALFACORP S.A.,CL0000000449,EMISOR,IFRS,active
SALMOCAM,76065596,76065596-1,SALMONES CAMANCHACA S.A.,CL0002409135,EMISOR,IFRS,active
SCHWAGER,96766600,96766600-9,SCHWAGER S.A.,CL0000001322,EMISOR,PROFORMA,active
SK,99598300,99598300-1,SIGDO KOPPERS S.A.,CL0000001272,EMISOR,PROFORMA,active
SMSAAM,76196718,76196718-5,SOCIEDAD MATRIZ SAAM S.A.,CL0001856989,EMISOR,IFRS,active
SMU,76012676,76012676-4,SMU S.A.,CL0002132620,EMISOR,IFRS,active
SOCOVESA,94840000,94840000-6,SOCOVESA S.A.,CL0000002544,EMISOR,PROFORMA,active
SONDA,83628100,83628100-4,SONDA S.A.,CL0000001934,EMISOR,PROFORMA,active
SOQUICOM,79768170,79768170-9,SOQUIMICH COMERCIAL S.A.,CLP872861032,EMISOR,PROFORMA,active
SQM-B,93007000,93007000-9,SOC QUIMICA MINERA DE CHILE S.A. SERIE B,CLP8716X1082,EMISOR,PROFORMA,active
TRICAHUE,96542300,96542300-1,INVERSIONES TRICAHUE S.A.,CLP584961039,EMISOR,PROFORMA,active
VAPORES,90160000,90160000-7,COMPANIA SUD AMERICANA DE VAPORES S.A.,CLP3064M1019,EMISOR,PROFORMA,active
VSPT,91041000,91041000-8,VINA SAN PEDRO TARAPACA S.A.,CL0002209253,EMISOR,IFRS,active
WALMARTCL,1400,1400-1,WALMART INC.,US9311421039,EMISOR,,active
WATTS,76455830,76455830-8,WATTS S.A.,,EMISOR,IFRS,active
ZOFRI,70285500,70285500-4,ZONA FRANCA DE IQUIQUE S.A.,CLP989971021,EMISOR,PROFORMA,active
